Datetime,open,high,low,close,volume
2002-10-21,124.945,125.295,124.48,125.23,0
2002-10-22,125.235,125.465,124.62,124.685,0
2002-10-23,124.675,124.725,123.865,123.915,0
2002-10-24,123.915,124.86,123.62,123.695,0
2002-10-25,123.675,124.305,123.67,124.19,0
2002-10-27,124.22,124.875,124.17,124.86,0
2002-10-28,124.85,124.995,123.21,123.575,0
2002-10-29,123.56,123.725,122.36,123.195,0
2002-10-30,123.155,123.215,122.465,122.48,0
2002-10-31,122.495,122.875,122.355,122.615,0
2002-11-01,122.62,122.77,121.635,122.145,0
2002-11-03,122.175,122.3,122.125,122.285,0
2002-11-04,122.27,122.58,121.675,121.875,0
2002-11-05,121.87,122.29,121.41,122.285,0
2002-11-06,122.29,122.65,121.52,121.7,0
2002-11-07,121.715,121.93,120.835,121.165,0
2002-11-08,121.16,121.24,119.555,119.8,0
2002-11-10,119.875,120.1,119.525,119.585,0
2002-11-11,119.58,119.935,119.115,119.78,0
2002-11-12,119.775,119.845,119.285,119.745,0
2002-11-13,119.74,120.505,119.57,120.395,0
2002-11-14,120.385,120.815,119.665,120.555,0
2002-11-15,120.55,120.915,120.26,120.395,0
2002-11-17,120.44,121.03,120.3,120.955,0
2002-11-18,120.95,121.295,120.815,120.925,0
2002-11-19,120.93,122.53,120.855,122.39,0
2002-11-20,122.385,122.77,122.19,122.365,0
2002-11-21,122.365,122.955,121.89,122.74,0
2002-11-22,122.74,123.0,122.46,122.94,0
2002-11-24,123.055,123.185,122.535,122.59,0
2002-11-25,122.585,123.08,121.735,121.855,0
2002-11-26,121.85,122.14,121.51,121.675,0
2002-11-27,121.67,122.44,121.325,122.27,0
2002-11-28,122.275,122.33,122.125,122.3,0
2002-11-29,122.28,122.75,122.27,122.535,0
2002-12-01,122.635,123.455,122.53,123.375,0
2002-12-02,123.385,125.035,123.31,124.59,0
2002-12-03,124.58,124.99,124.185,124.815,0
2002-12-04,124.815,125.405,124.29,125.175,0
2002-12-05,125.175,125.71,124.655,125.15,0
2002-12-06,125.155,125.295,122.13,123.59,0
2002-12-08,123.47,123.47,122.715,122.895,0
2002-12-09,122.905,123.69,122.425,123.575,0
2002-12-10,123.57,124.045,123.09,123.445,0
2002-12-11,123.45,123.885,123.12,123.425,0
2002-12-12,123.415,123.44,122.26,122.565,0
2002-12-13,122.58,122.855,120.33,120.495,0
2002-12-15,120.525,120.855,120.43,120.695,0
2002-12-16,120.7,121.5,120.515,120.73,0
2002-12-17,120.725,121.67,120.185,121.285,0
2002-12-18,121.27,121.475,120.675,121.145,0
2002-12-19,121.14,121.265,120.385,120.67,0
2002-12-20,120.665,120.975,120.335,120.36,0
2002-12-22,120.3,120.48,120.25,120.305,0
2002-12-23,120.3,120.76,119.83,120.34,0
2002-12-24,120.35,120.49,119.975,120.325,0
2002-12-26,120.06,120.305,119.905,119.97,0
2002-12-27,119.985,120.14,119.81,119.935,0
2002-12-29,119.865,120.015,119.835,119.925,0
2002-12-30,119.92,119.975,118.3,118.495,0
2002-12-31,118.51,118.835,118.465,118.725,0
2003-01-02,118.9,120.265,118.77,120.065,0
2003-01-03,120.06,120.19,119.615,119.78,0
2003-01-05,119.855,119.87,119.08,119.22,0
2003-01-06,119.22,119.62,118.575,119.555,0
2003-01-07,119.555,120.59,119.35,120.12,0
2003-01-08,120.11,120.43,118.68,119.025,0
2003-01-09,119.03,120.035,118.76,119.82,0
2003-01-10,119.815,119.855,119.09,119.22,0
2003-01-12,119.195,119.335,119.06,119.2,0
2003-01-13,119.195,119.445,118.735,118.78,0
2003-01-14,118.78,118.985,117.57,118.125,0
2003-01-15,118.135,118.4,117.795,118.18,0
2003-01-16,118.185,118.21,117.675,118.035,0
2003-01-17,118.04,118.09,117.44,117.795,0
2003-01-19,117.97,118.3,117.87,118.21,0
2003-01-20,118.22,118.835,117.905,118.765,0
2003-01-21,118.765,119.12,118.01,118.205,0
2003-01-22,118.21,118.82,117.96,118.61,0
2003-01-23,118.615,118.625,117.66,117.965,0
2003-01-24,117.97,118.185,117.555,117.745,0
2003-01-26,117.845,118.01,117.79,117.83,0
2003-01-27,117.825,119.285,117.56,118.59,0
2003-01-28,118.585,118.935,118.005,118.05,0
2003-01-29,118.05,118.805,117.865,118.63,0
2003-01-30,118.65,119.47,118.47,119.015,0
2003-01-31,119.02,120.06,118.94,119.9,0
2003-02-02,119.77,120.885,119.77,120.22,0
2003-02-03,120.225,120.795,120.185,120.24,0
2003-02-04,120.24,120.29,119.51,119.55,0
2003-02-05,119.55,120.34,119.08,119.985,0
2003-02-06,119.99,120.08,119.585,119.845,0
2003-02-07,119.84,120.42,119.785,120.19,0
2003-02-09,120.35,120.55,120.265,120.39,0
2003-02-10,120.4,121.385,120.29,121.315,0
2003-02-11,121.325,121.77,120.7,120.805,0
2003-02-12,120.775,121.47,120.46,121.0,0
2003-02-13,120.995,121.275,120.245,120.36,0
2003-02-14,120.365,120.85,120.12,120.315,0
2003-02-16,120.435,120.78,120.385,120.57,0
2003-02-17,120.585,120.64,119.14,119.285,0
2003-02-18,119.28,119.4,118.71,118.955,0
2003-02-19,118.95,119.205,118.575,119.005,0
2003-02-20,119.025,119.025,118.13,118.38,0
2003-02-21,118.37,118.9,118.255,118.775,0
2003-02-23,118.84,118.89,118.305,118.365,0
